2025-08-16 14:44:07,720 - __main__ - INFO - Epoch: 91, Train Accuracy: 84.22, Valid Accuracy: 85.43, Test Accuracy: 85.75, Training Time: 261.70s, Valid Time: 13.35s, Testing Time: 14.52s
2025-08-16 14:48:57,229 - __main__ - INFO - Epoch: 92, Train Accuracy: 83.73, Valid Accuracy: 84.81, Test Accuracy: 85.54, Training Time: 261.64s, Valid Time: 13.35s, Testing Time: 14.52s
2025-08-16 14:53:46,811 - __main__ - INFO - Epoch: 93, Train Accuracy: 84.26, Valid Accuracy: 85.30, Test Accuracy: 85.79, Training Time: 261.70s, Valid Time: 13.36s, Testing Time: 14.52s
2025-08-16 14:58:36,025 - __main__ - INFO - Epoch: 94, Train Accuracy: 84.24, Valid Accuracy: 85.19, Test Accuracy: 85.75, Training Time: 261.37s, Valid Time: 13.33s, Testing Time: 14.50s
2025-08-16 15:03:25,358 - __main__ - INFO - Epoch: 95, Train Accuracy: 84.26, Valid Accuracy: 85.35, Test Accuracy: 86.63, Training Time: 261.48s, Valid Time: 13.33s, Testing Time: 14.51s
2025-08-16 15:08:14,260 - __main__ - INFO - Epoch: 96, Train Accuracy: 84.38, Valid Accuracy: 85.68, Test Accuracy: 86.86, Training Time: 261.07s, Valid Time: 13.34s, Testing Time: 14.49s
2025-08-16 15:13:03,425 - __main__ - INFO - Epoch: 97, Train Accuracy: 84.41, Valid Accuracy: 85.68, Test Accuracy: 86.53, Training Time: 261.33s, Valid Time: 13.33s, Testing Time: 14.50s
2025-08-16 15:17:52,635 - __main__ - INFO - Epoch: 98, Train Accuracy: 84.40, Valid Accuracy: 85.21, Test Accuracy: 85.87, Training Time: 261.36s, Valid Time: 13.33s, Testing Time: 14.51s
2025-08-16 15:22:41,830 - __main__ - INFO - Epoch: 99, Train Accuracy: 84.54, Valid Accuracy: 85.61, Test Accuracy: 86.02, Training Time: 261.30s, Valid Time: 13.35s, Testing Time: 14.55s
2025-08-16 15:27:30,973 - __main__ - INFO - Epoch: 100, Train Accuracy: 84.55, Valid Accuracy: 85.95, Test Accuracy: 86.82, Training Time: 261.29s, Valid Time: 13.35s, Testing Time: 14.51s
2025-08-16 15:32:20,179 - __main__ - INFO - Epoch: 101, Train Accuracy: 84.42, Valid Accuracy: 86.17, Test Accuracy: 86.65, Training Time: 261.33s, Valid Time: 13.35s, Testing Time: 14.52s
2025-08-16 15:37:09,265 - __main__ - INFO - Epoch: 102, Train Accuracy: 84.06, Valid Accuracy: 85.68, Test Accuracy: 86.37, Training Time: 261.22s, Valid Time: 13.34s, Testing Time: 14.52s
2025-08-16 15:41:58,258 - __main__ - INFO - Epoch: 103, Train Accuracy: 84.53, Valid Accuracy: 85.86, Test Accuracy: 86.53, Training Time: 261.17s, Valid Time: 13.33s, Testing Time: 14.49s
2025-08-16 15:46:47,088 - __main__ - INFO - Epoch: 104, Train Accuracy: 84.36, Valid Accuracy: 86.24, Test Accuracy: 86.24, Training Time: 261.02s, Valid Time: 13.32s, Testing Time: 14.49s
2025-08-16 15:51:36,263 - __main__ - INFO - Epoch: 105, Train Accuracy: 84.11, Valid Accuracy: 85.68, Test Accuracy: 85.59, Training Time: 261.34s, Valid Time: 13.34s, Testing Time: 14.50s
2025-08-16 15:56:25,483 - __main__ - INFO - Epoch: 106, Train Accuracy: 84.20, Valid Accuracy: 85.26, Test Accuracy: 85.89, Training Time: 261.38s, Valid Time: 13.33s, Testing Time: 14.51s
2025-08-16 16:01:14,903 - __main__ - INFO - Epoch: 107, Train Accuracy: 84.47, Valid Accuracy: 85.79, Test Accuracy: 86.37, Training Time: 261.57s, Valid Time: 13.34s, Testing Time: 14.51s
2025-08-16 16:06:04,071 - __main__ - INFO - Epoch: 108, Train Accuracy: 84.36, Valid Accuracy: 85.01, Test Accuracy: 86.37, Training Time: 261.29s, Valid Time: 13.38s, Testing Time: 14.50s
2025-08-16 16:10:53,464 - __main__ - INFO - Epoch: 109, Train Accuracy: 84.30, Valid Accuracy: 85.77, Test Accuracy: 86.02, Training Time: 261.53s, Valid Time: 13.35s, Testing Time: 14.52s
2025-08-16 16:15:42,568 - __main__ - INFO - Epoch: 110, Train Accuracy: 84.59, Valid Accuracy: 85.84, Test Accuracy: 87.02, Training Time: 261.30s, Valid Time: 13.32s, Testing Time: 14.49s
2025-08-16 16:20:31,685 - __main__ - INFO - Epoch: 111, Train Accuracy: 84.84, Valid Accuracy: 86.10, Test Accuracy: 87.13, Training Time: 261.29s, Valid Time: 13.34s, Testing Time: 14.48s
2025-08-16 16:25:20,623 - __main__ - INFO - Epoch: 112, Train Accuracy: 84.68, Valid Accuracy: 85.46, Test Accuracy: 86.86, Training Time: 261.14s, Valid Time: 13.31s, Testing Time: 14.48s
2025-08-16 16:30:09,293 - __main__ - INFO - Epoch: 113, Train Accuracy: 84.57, Valid Accuracy: 85.17, Test Accuracy: 86.49, Training Time: 260.89s, Valid Time: 13.30s, Testing Time: 14.47s
2025-08-16 16:34:58,237 - __main__ - INFO - Epoch: 114, Train Accuracy: 84.61, Valid Accuracy: 85.95, Test Accuracy: 86.82, Training Time: 261.13s, Valid Time: 13.32s, Testing Time: 14.49s
2025-08-16 16:39:47,206 - __main__ - INFO - Epoch: 115, Train Accuracy: 84.68, Valid Accuracy: 86.12, Test Accuracy: 86.30, Training Time: 261.18s, Valid Time: 13.32s, Testing Time: 14.48s
2025-08-16 16:44:36,056 - __main__ - INFO - Epoch: 116, Train Accuracy: 84.59, Valid Accuracy: 86.37, Test Accuracy: 86.41, Training Time: 261.05s, Valid Time: 13.32s, Testing Time: 14.48s
2025-08-16 16:50:20,122 - __main__ - INFO - Epoch: 117, Train Accuracy: 84.47, Valid Accuracy: 85.55, Test Accuracy: 85.89, Training Time: 261.04s, Valid Time: 13.31s, Testing Time: 14.48s
2025-08-16 16:55:09,003 - __main__ - INFO - Epoch: 118, Train Accuracy: 84.16, Valid Accuracy: 85.14, Test Accuracy: 85.91, Training Time: 261.08s, Valid Time: 13.32s, Testing Time: 14.48s
2025-08-16 16:59:57,681 - __main__ - INFO - Epoch: 119, Train Accuracy: 84.21, Valid Accuracy: 84.90, Test Accuracy: 85.59, Training Time: 260.85s, Valid Time: 13.30s, Testing Time: 14.52s
2025-08-16 17:04:46,124 - __main__ - INFO - Epoch: 120, Train Accuracy: 84.21, Valid Accuracy: 85.81, Test Accuracy: 86.00, Training Time: 260.68s, Valid Time: 13.30s, Testing Time: 14.46s
2025-08-16 17:09:34,849 - __main__ - INFO - Epoch: 121, Train Accuracy: 84.43, Valid Accuracy: 84.79, Test Accuracy: 85.83, Training Time: 260.93s, Valid Time: 13.31s, Testing Time: 14.47s
2025-08-16 17:14:23,373 - __main__ - INFO - Epoch: 122, Train Accuracy: 84.90, Valid Accuracy: 85.92, Test Accuracy: 86.43, Training Time: 260.76s, Valid Time: 13.30s, Testing Time: 14.46s
2025-08-16 17:19:11,946 - __main__ - INFO - Epoch: 123, Train Accuracy: 84.12, Valid Accuracy: 84.70, Test Accuracy: 85.13, Training Time: 260.81s, Valid Time: 13.30s, Testing Time: 14.46s
2025-08-16 17:24:00,471 - __main__ - INFO - Epoch: 124, Train Accuracy: 83.89, Valid Accuracy: 84.59, Test Accuracy: 85.79, Training Time: 260.78s, Valid Time: 13.29s, Testing Time: 14.45s
2025-08-16 17:28:48,913 - __main__ - INFO - Epoch: 125, Train Accuracy: 84.34, Valid Accuracy: 85.32, Test Accuracy: 85.87, Training Time: 260.69s, Valid Time: 13.29s, Testing Time: 14.46s
2025-08-16 17:33:37,454 - __main__ - INFO - Epoch: 126, Train Accuracy: 84.13, Valid Accuracy: 85.17, Test Accuracy: 85.69, Training Time: 260.76s, Valid Time: 13.31s, Testing Time: 14.47s
2025-08-16 17:38:25,787 - __main__ - INFO - Epoch: 127, Train Accuracy: 84.20, Valid Accuracy: 85.86, Test Accuracy: 85.71, Training Time: 260.57s, Valid Time: 13.30s, Testing Time: 14.46s
2025-08-16 17:43:14,281 - __main__ - INFO - Epoch: 128, Train Accuracy: 84.41, Valid Accuracy: 85.63, Test Accuracy: 86.16, Training Time: 260.67s, Valid Time: 13.35s, Testing Time: 14.48s
